group_feature,group_value,rows,target_rate,approval_rate,avg_score,accuracy,precision,recall,f1
person_gender,female,3945,0.2165,0.1359,0.3023,0.9118,0.972,0.6101,0.7496
person_gender,male,5055,0.2267,0.1397,0.3114,0.9106,0.9915,0.6108,0.7559
person_education,Associate,2357,0.2283,0.1396,0.3137,0.9079,0.9878,0.6041,0.7497
person_education,Bachelor,2661,0.218,0.1334,0.3033,0.9102,0.9803,0.6,0.7444
person_education,Doctorate,111,0.1892,0.1081,0.2988,0.9189,1.0,0.5714,0.7273
person_education,High School,2470,0.2243,0.1466,0.3092,0.9158,0.9779,0.639,0.7729
person_education,Master,1401,0.2191,0.1313,0.3023,0.9094,0.9891,0.5928,0.7413
person_home_ownership,MORTGAGE,3684,0.1164,0.0364,0.1991,0.915,0.9328,0.2914,0.444
person_home_ownership,OTHER,20,0.35,0.05,0.4572,0.7,1.0,0.1429,0.25
person_home_ownership,OWN,583,0.0686,0.0549,0.0761,0.9863,1.0,0.8,0.8889
person_home_ownership,RENT,4713,0.3234,0.2281,0.4201,0.8996,0.9888,0.6975,0.818
age_band,26-35,4028,0.2068,0.1249,0.2972,0.9126,0.9781,0.5906,0.7365
age_band,36-50,809,0.2052,0.1224,0.3228,0.9147,0.9899,0.5904,0.7396
age_band,51+,71,0.2817,0.2254,0.4083,0.8873,0.875,0.7,0.7778
age_band,<=25,4092,0.2397,0.1525,0.3127,0.9093,0.9888,0.629,0.7688
