feature,importance
numeric__loan_int_rate,0.19605541642619806
numeric__loan_percent_income,0.18168815754492193
numeric__person_income,0.12645135300243432
numeric__loan_amnt,0.07011957047998636
categorical__person_home_ownership_RENT,0.05852590976913542
numeric__credit_score,0.04681342538934455
numeric__cb_person_cred_hist_length,0.04655893101847802
numeric__person_age,0.04402647421878705
numeric__person_emp_exp,0.04005769259939958
categorical__person_home_ownership_MORTGAGE,0.036569861778257017
categorical__loan_intent_DEBTCONSOLIDATION,0.018381064951658695
categorical__loan_intent_HOMEIMPROVEMENT,0.017049725336657835
categorical__loan_intent_MEDICAL,0.016301521126815724
categorical__person_home_ownership_OWN,0.015244535647892497
categorical__loan_intent_VENTURE,0.015147798198873012
categorical__loan_intent_EDUCATION,0.013030997632355936
categorical__loan_intent_PERSONAL,0.009033238886635918
categorical__person_education_Bachelor,0.008841651184775801
categorical__person_education_Associate,0.008300807737428372
categorical__person_education_High School,0.00821905082012613
categorical__person_gender_male,0.007413826430770446
categorical__person_gender_female,0.007320962602729349
categorical__person_education_Master,0.006747575078265045
categorical__person_education_Doctorate,0.0015615391272596317
categorical__person_home_ownership_OTHER,0.0005389130108132369
