threshold,business_cost
0.05,10507.0
0.06,10317.0
0.07,10198.0
0.08,10079.0
0.09,9976.0
0.1,9857.0
0.11,9733.0
0.12,9589.0
0.13,9464.0
0.14,9375.0
0.15,9275.0
0.16,9145.0
0.17,9010.0
0.18,8881.0
0.19,8762.0
0.2,8630.0
0.21,8521.0
0.22,8415.0
0.23,8334.0
0.24,8211.0
0.25,8033.0
0.26,7945.0
0.27,7829.0
0.28,7690.0
0.29,7583.0
0.3,7469.0
0.31,7336.0
0.32,7219.0
0.33,7066.0
0.34,6983.0
0.35,6827.0
0.36,6721.0
0.37,6611.0
0.38,6463.0
0.39,6343.0
0.4,6231.0
0.41,6130.0
0.42,5965.0
0.43,5867.0
0.44,5709.0
0.45,5548.0
0.46,5448.0
0.47,5349.0
0.48,5243.0
0.49,5094.0
0.5,4987.0
0.51,4891.0
0.52,4787.0
0.53,4620.0
0.54,4473.0
0.55,4346.0
0.56,4195.0
0.57,4058.0
0.58,3964.0
0.59,3817.0
0.6,3701.0
0.61,3588.0
0.62,3500.0
0.63,3325.0
0.64,3176.0
0.65,3057.0
0.66,2949.0
0.67,2781.0
0.68,2662.0
0.69,2546.0
0.7,2444.0
0.71,2327.0
0.72,2211.0
0.73,2114.0
0.74,2008.0
0.75,1902.0
0.76,1812.0
0.77,1722.0
0.78,1642.0
0.79,1559.0
0.8,1470.0
0.81,1400.0
0.82,1302.0
0.83,1187.0
0.84,1150.0
0.85,1084.0
0.86,1039.0
0.87,986.0
0.88,962.0
0.89,931.0
0.9,912.0
0.91,902.0
0.92,904.0
0.93,905.0
0.94,908.0
0.95,884.0
