feature,importance
categorical__person_home_ownership_RENT,0.20386633
numeric__loan_percent_income,0.14977793
numeric__loan_int_rate,0.09686736
categorical__loan_intent_VENTURE,0.073713146
categorical__person_home_ownership_OWN,0.06478934
categorical__loan_intent_HOMEIMPROVEMENT,0.060764976
numeric__person_income,0.04750461
categorical__loan_intent_DEBTCONSOLIDATION,0.0431644
categorical__loan_intent_EDUCATION,0.035631888
categorical__person_home_ownership_MORTGAGE,0.034511507
categorical__loan_intent_MEDICAL,0.032986168
numeric__loan_amnt,0.021802744
categorical__loan_intent_PERSONAL,0.019459058
numeric__person_age,0.0137658585
categorical__person_gender_male,0.011022648
categorical__person_gender_female,0.010646946
numeric__cb_person_cred_hist_length,0.0105165355
categorical__person_home_ownership_OTHER,0.010282816
numeric__credit_score,0.010100836
categorical__person_education_Associate,0.0100563625
categorical__person_education_Master,0.009650118
categorical__person_education_Bachelor,0.009211439
numeric__person_emp_exp,0.008835364
categorical__person_education_High School,0.0073452075
categorical__person_education_Doctorate,0.0037263886
