feature,mean_abs_shap
numeric__loan_int_rate,0.97091556
numeric__loan_percent_income,0.82030404
numeric__person_income,0.5830963
categorical__person_home_ownership_RENT,0.36128312
categorical__person_home_ownership_OWN,0.3353114
categorical__loan_intent_VENTURE,0.31867445
numeric__loan_amnt,0.16356672
categorical__loan_intent_DEBTCONSOLIDATION,0.13504474
categorical__loan_intent_HOMEIMPROVEMENT,0.10077268
categorical__loan_intent_MEDICAL,0.09719401
categorical__loan_intent_EDUCATION,0.093602695
categorical__person_home_ownership_MORTGAGE,0.06963918
numeric__person_age,0.055920828
numeric__cb_person_cred_hist_length,0.052126013
numeric__credit_score,0.049369466
numeric__person_emp_exp,0.04066532
categorical__person_education_High School,0.022824973
categorical__loan_intent_PERSONAL,0.02167877
categorical__person_education_Bachelor,0.011743366
categorical__person_gender_female,0.011275127
categorical__person_education_Associate,0.010850537
categorical__person_education_Master,0.0060337717
categorical__person_gender_male,0.0038275616
categorical__person_home_ownership_OTHER,0.0014444676
categorical__person_education_Doctorate,8.268104e-05
